HCODE,DOCTYP,TAKER,DST,TRIA,DIRORG,DECAL,DSUNT,NOTES,SEDAT,EXTP,DEPN,COMIT,DSIZE,PORCS,DAREA
1030551A,差異分析報告,張同婉,新北市,1030513,交通部,,,本書件為初稿本,1030411,審查中,臺灣港務分公司基隆港務分公司,-,0,審查中,0
1030543A,因應對策,陳彥男,花蓮縣,1030520,經濟部,,,本書件為初稿本,1030414,審查中,和平工業專用港實業股份有限公司,-,0,審查中,0
1030536A,變更內容對照表,邱景昆,新北市,-,交通部,,,本書件為初稿本,1030422,審查中,臺灣港務股份有限公司基隆港務分公司,-,0,審查中,0
1030524A,變更內容對照表,邱景昆,臺北市,-,中央研究院,,,本書件為初稿本,1030101,審查中,中央研究院,-,0,審查中,0
1030514A,變更內容對照表,邱景昆,新竹縣,-,教育部,,,本書件為初稿本,1030101,審查中,財團法人中國科技大學,-,0,審查中,0
1030504A,變更內容對照表,邱景昆,宜蘭縣,-,教育部,,,本書件為初稿本,1030409,審查中,佛光大學,-,0,審查中,0
1030494A,差異分析報告,張同婉,臺中市,1030422,經濟部,,,本書件為初稿本,1030410,審查中,臺中市政府,-,0,預備提會,0
1030483A,差異分析報告,張同婉,雲林縣,1030501,經濟部工業局,,,本書件為初稿本,1030313,審查中,台灣塑膠工業股份有限公司,-,0,審查中,0
1030473A,因應對策,張同婉,雲林縣,1030408,經濟部工業局,,,本書件為初稿本,1030303,審查中,台塑石化股份有限公司等15家,-,0,補正後再審,0
1030466A,差異分析報告,陳彥男,苗栗縣,1030417,衛生福利部,,,本書件為確認本,1030325,審查中,醫療財團法人遠雄健康生活園區基金會,1030507,0,預備提會,0
1030433A,變更內容對照表,邱景昆,高雄市,1030116,交通部,,,本書件為定稿本,1030103,審核修正通過,臺灣港務股份有限公司,1030219,0,辦理結案,0
1030424A,變更內容對照表,邱景昆,臺中市,1030221,經濟部能源局,,,本書件為初稿本,1030114,審查中,中威風力發電股份有限公司,-,0,審查中,0
1030414A,差異分析報告,劉馥萱,苗栗縣,1030429,經濟部能源局,,,本書件為初稿本,1030331,審查中,東鋼風力發電股份有限公司,-,0,預備提會,0
1030403A,差異分析報告,張同婉,臺中市,1030425,教育部,,,本書件為初稿本,1030310,審查中,嶺東科技大學,-,0,審查中,0
1030393A,差異分析報告,陳彥男,彰化縣,1030422,經濟部工業局,,,本署件為初稿本,1030317,審查中,日友環保科技股份有限公司,-,0,補正後再審,0
1030383A,差異分析報告,陳彥男,彰化縣,1030422,經濟部工業局,,,本署件為初稿本,1030317,審查中,日友環保科技股份有限公司,-,0,補正後再審,0
1030374A,差異分析報告,陳彥男,彰化縣,1030422,經濟部工業局,,,本署件為初稿本,1030317,審查中,日友環保科技股份有限公司,-,0,補正後再審,0
1030363A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030354A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
1030344A,變更內容對照表,邱景昆,高雄市,1030321,交通部,,,本書件為修訂本,1030217,審查中,臺灣港務股份有限公司,-,0,審查中,0
