Id,DevCategory,Taker,SendDate,Area,Region,Agency,ExamineDate,CommitteeDate,ExamineStatus,Status,DocType,DevUnit,Notes,Unit,Size
0710012A,環境保護工程之興建,,,8.1,臺北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北市政府環境保護局,,公頃,8.1
0720021A,風景區之開發,,,19290,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣省交通處旅遊局,,公頃,19290
0720032A,環境保護工程之興建,,,62,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部觀光局東北角海岸風景特定區管理處,,公頃,62
0730012A,蓄水工程之開發,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,經濟部水資源統一規劃委員會,,立方公尺,320000000
0740012A,道路之開發,,,,臺灣地區,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣省交通處公路局,,公里,283
0740022A,環境保護工程之興建,,,,臺北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北市政府環境保護局,,,
0740032A,蓄水工程之開發,,,0,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣省自來水公司,,立方公尺,4875000
0740042A,魚塭或魚池之興建,,,884,嘉義縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,行政院農委會,,公頃,884
0750012A,環境保護工程之興建,,,,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北市政府環保局,,公尺,175
0750022A,環境保護工程之興建,,,,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北市政府環境保護局,,公尺,226
0750032A,港灣之開發,,,31,臺南市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,高雄港務局,,公頃,31
0750042A,設置液化天然氣接收站(港),,,0,高雄市,經濟部能源局,-,-,有條件通過環境影響評估,辦理結案,評估報告書,中國石油股份有限公司,,,0
0750052A,核能及其他能源之開發,,,0,臺中市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,,,0
0760012A,工廠之設立,沈永寧,,7,高雄市,經濟部,0770105,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣志氯化學股份有限公司,,公頃,7
0760021A,工廠之設立,,,24,宜蘭縣,,-,-,退件/撤銷,,說明書,正元紙業股份有限公司,,公頃,24
0760032A,環境保護工程之興建,,,,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣省政府住宅及都市發展局,,公尺,9250
0760042A,放射性廢棄物貯存或處理設施興建,,,,臺東縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,行政院原子能委員會放射性待處理物料管理處,,,
0760052A,港灣之開發,,,,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣塑膠公司,,,
0760062A,魚塭或魚池之興建,,,550,雲林縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,雲林縣政府,,公頃,550
0760072A,魚塭或魚池之興建,,,8137,雲林縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,行政院農委會,,公頃,8137
0760081A,土石採取,,,,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,中央地質調查所,,立方公尺,363142000
0760092A,核能及其他能源之開發,,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,中國石油股份有限公司,,,
0760102A,核能及其他能源之開發,陳淨修,0760101,0,新北市,經濟部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,繳費日期僅供參考,公頃,0
0760112A,核能及其他能源之開發,,,0,屏東縣,經濟部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司核三廠,,,0
0760122A,牧地之開發利用,,,392.89,嘉義縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台糖公司南靖糖廠,,公頃,392.89
0770022A,核能及其他能源之開發,,,0,臺中市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣電力公司,,瓩,133500
0770032A,其他開發行為,,,0,臺北市,交通部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,交通部台北市區地下鐵路工程處,,公里,11.68
0770041A,工廠之設立,,,3,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,華夏海灣塑膠股份有限公司,,公頃,3
0770052A,園區之開發,,,49,桃園縣,經濟部工業局,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣區製藥工業同業公會,,公頃,49
0770062A,工廠之設立,,,80,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣杜邦股份有限公司,,公頃,80
0770072A,遊樂區之開發,,,916,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,行政院農委會、林務局竹東林區管理處,,公頃,916
0770081A,土石採取,,,300,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣省礦物局,,公頃,300
0770092A,大眾捷運系統之開發,,,,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北市政府捷運工程局,,公里,14.3
0780011A,高爾夫球場之開發,,,41.3856,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,金馬開發股份有限公司,,公頃,41.3856
0780021A,高爾夫球場之開發,,,63.4891,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,霖園遊樂事業股份有限公司,,公頃,63.4891
0780031A,高爾夫球場之開發,,,41.7289,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,東光育樂股份有限公司、喬大工程顧問有限公司,,公頃,41.7289
0780041A,高爾夫球場之開發,,,112.8474,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,綠成企業股份有限公司,,公頃,112.8474
0780051A,高爾夫球場之開發,,,104.8377,苗栗縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,儷國育樂股份有限公司,,公頃,104.8377
0780061A,高爾夫球場之開發,,,51.0342,苗栗縣,行政院體育委員會,-,-,有條件通過環境影響評估,辦理結案,說明書,全國高爾夫實業股份有限公司,,公頃,51.0342
0780071A,高爾夫球場之開發,,,32.8085,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,楓林高爾夫俱樂部,,公頃,32.8085
0780081A,高爾夫球場之開發,,,74.2788,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,嘉南開發事業股份有限公司,,公頃,74.2788
0780091A,高爾夫球場之開發,,,49.169,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,雅客盛育樂有限公司,,公頃,49.169
0780101A,設置液化天然氣接收站(港),,,,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油股份有限公司,,,
0780112A,探礦、採礦,,,39.67,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,東南、正泰水泥股份有限公司,,公頃,39.67
0780121A,園區之開發,,,195.5,臺南市,,-,-,有條件通過環境影響評估,預備提會,說明書,台南市政府,,公頃,195.5
0780131A,核能及其他能源之開發,,,0,高雄市,經濟部,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油股份有限公司,,公秉,93000
0780142A,環境保護工程之興建,,,4.6,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,高雄市政府環境保護局,,公頃,4.6
0780152A,環境保護工程之興建,,,30086,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台北水源特定區管理委員會,,公頃,30086
0780162A,環境保護工程之興建,,,0,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,新竹市政府,,公噸,0
0780171A,環境保護工程之興建,,,,臺南縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣省政府環境保護處,,公里,5
0780181A,其他開發行為,,,,花蓮縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,台灣省東部土地開發處,,公尺,4850
0780192A,防洪排水工程之開發,,,,臺東縣,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台東縣政府,,公尺,400
0780201A,遊樂區之開發,,,144,桃園縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,長興育樂股份有限公司,,公頃,144
0780211A,其他開發行為,,,38.31,屏東縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,屏東縣新園鄉公所,,公頃,38.31
0780222A,其他開發行為,,,150,高雄市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,高雄市政府環境保護局,,公頃,150
0780231A,輸送天然氣、油品管線工程,,,0,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,中國石油股份有限公司高雄煉油總廠,,,0
0780241A,土石採取,,,,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,中央地質調查所,,,
0780251A,高爾夫球場之開發,,,42.8698,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,長安國際開發股份有限公司,,公頃,42.8698
0780261A,高爾夫球場之開發,,,53.8759,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,名佳育樂股份有限公司,,公頃,53.8759
0780271A,高爾夫球場之開發,,,109.9352,新北市,,-,-,有條件通過環境影響評估,辦理結案,說明書,平溪育樂股份有限公司,,公頃,109.9352
0780282A,環境保護工程之興建,,,,新北市,,-,-,有條件通過環境影響評估,辦理結案,評估報告書,行政院環保署,,公噸,900
0780291A,高爾夫球場之開發,,,109.2427,新竹縣,,-,-,有條件通過環境影響評估,辦理結案,說明書,林園國際育樂股份有限公司,,公頃,109.2427
0780302A,防洪排水工程之開發,陳昭旭,,40072,臺中市,經濟部,-,-,有條件通過環境影響評估,辦理結案,評估報告書,台灣省水利局,,公頃,40072
0780311A,高爾夫球場之開發,,,28.4442,高雄市,,-,-,有條件通過環境影響評估,辦理結案,說明書,合家歡育樂事業股份有限公司,,公頃,28.4442
